,path,filename,split_filename,original_filename,new_filename,safe_to_walk,roadway_width,crosswalk,crosswalk_signal,traffic_light,car,scooter,bike,other_obstacles,no_obstacle_in_crosswalk,weather,subset
0,V_pic/IMG_7960.jpg,IMG_7960.jpg,IMG_7960,IMG_7960.HEIC,000000.jpg,1,32.1,1,2,2,0,0,1,0,1,0,train
1,V_pic/IMG_7948.jpg,IMG_7948.jpg,IMG_7948,IMG_7948.HEIC,000001.jpg,1,32.6,1,1,0,0,0,0,0,1,0,train
2,V_pic/o013ec39f7e3ed313e7085914aa1cee71_4620693218545359526_210610_39.jpg,o013ec39f7e3ed313e7085914aa1cee71_4620693218545359526_210610_39.jpg,o013ec39f7e3ed313e7085914aa1cee71_4620693218545359526_210610_39,o013ec39f7e3ed313e7085914aa1cee71_4620693218545359526_210610_39.jpg,000002.jpg,0,8.8,1,2,2,0,0,0,0,1,0,train
3,V_pic/IMG_7747.jpg,IMG_7747.jpg,IMG_7747,IMG_7747.jpeg,000003.jpg,1,7.8,1,1,1,0,0,0,0,1,1,train
4,V_pic/IMG_7753.jpg,IMG_7753.jpg,IMG_7753,IMG_7753.jpeg,000004.jpg,0,12.2,1,2,0,0,0,0,0,1,1,train
5,V_pic/IMG_3904.jpg,IMG_3904.jpg,IMG_3904,IMG_3904.HEIC,000005.jpg,1,8.6,1,1,1,0,0,0,0,1,0,train
6,V_pic/IMG_20210607_202147.jpg,IMG_20210607_202147.jpg,IMG_20210607_202147,IMG_20210607_202147.jpg,000006.jpg,0,20.0,1,0,1,0,0,0,0,1,2,train
7,V_pic/IMG_3910.jpg,IMG_3910.jpg,IMG_3910,IMG_3910.HEIC,000007.jpg,1,8.6,1,1,2,0,0,0,0,1,1,train
8,V_pic/IMG_3938.jpg,IMG_3938.jpg,IMG_3938,IMG_3938.HEIC,000008.jpg,0,27.0,1,0,2,1,0,0,0,0,1,train
9,V_pic/IMG_20210609_161938.jpg,IMG_20210609_161938.jpg,IMG_20210609_161938,IMG_20210609_161938.jpg,000009.jpg,0,22.1,1,0,1,0,0,0,0,1,0,train
10,V_pic/IMG_20210604_153631.jpg,IMG_20210604_153631.jpg,IMG_20210604_153631,IMG_20210604_153631.jpg,000010.jpg,0,31.2,1,0,0,1,0,0,0,0,1,train
11,V_pic/o013ec39f7e3ed313e7085914aa1cee71_4620693218545359526_210610_4.jpg,o013ec39f7e3ed313e7085914aa1cee71_4620693218545359526_210610_4.jpg,o013ec39f7e3ed313e7085914aa1cee71_4620693218545359526_210610_4,o013ec39f7e3ed313e7085914aa1cee71_4620693218545359526_210610_4.jpg,000011.jpg,1,9.2,1,2,2,0,0,0,0,1,0,train
12,V_pic/IMG_4070.jpg,IMG_4070.jpg,IMG_4070,IMG_4070.HEIC,000012.jpg,0,35.0,1,1,2,1,0,0,0,0,0,train
13,V_pic/IMG_4064.jpg,IMG_4064.jpg,IMG_4064,IMG_4064.HEIC,000013.jpg,0,35.0,1,1,2,1,0,0,0,0,0,train
14,V_pic/IMG_8104.jpg,IMG_8104.jpg,IMG_8104,IMG_8104.HEIC,000014.jpg,1,14.2,1,1,2,0,0,0,0,1,0,train
15,V_pic/IMG_4058.jpg,IMG_4058.jpg,IMG_4058,IMG_4058.HEIC,000015.jpg,0,10.6,1,0,2,0,0,0,0,1,0,train
16,V_pic/IMG_3870.jpg,IMG_3870.jpg,IMG_3870,IMG_3870.HEIC,000016.jpg,0,23.3,1,0,0,1,0,0,0,0,1,val
17,V_pic/IMG_20210604_154016.jpg,IMG_20210604_154016.jpg,IMG_20210604_154016,IMG_20210604_154016.jpg,000017.jpg,0,11.4,1,0,0,0,0,0,0,1,1,train
18,V_pic/IMG_20210608_153500.jpg,IMG_20210608_153500.jpg,IMG_20210608_153500,IMG_20210608_153500.jpg,000018.jpg,1,10.3,1,1,2,0,0,0,0,1,0,train
19,V_pic/IMG_3864.jpg,IMG_3864.jpg,IMG_3864,IMG_3864.HEIC,000019.jpg,1,9.0,1,1,1,0,0,0,0,1,1,train
20,V_pic/S__72155279.jpg,S__72155279.jpg,S__72155279,S__72155279.jpg,000020.jpg,0,10.1,1,2,1,1,0,0,0,0,0,train
1070,V_pic/IMG_20210604_153751.jpg,IMG_20210604_153751.jpg,IMG_20210604_153751,IMG_20210604_153751.jpg,000021.jpg,0,31.2,1,0,0,0,0,0,0,1,1,reserved
21,V_pic/IMG_20210609_161858.jpg,IMG_20210609_161858.jpg,IMG_20210609_161858,IMG_20210609_161858.jpg,000022.jpg,0,22.1,1,1,1,1,1,0,0,0,0,train
22,V_pic/IMG_4104.jpg,IMG_4104.jpg,IMG_4104,IMG_4104.HEIC,000023.jpg,1,59.1,1,1,1,0,0,0,0,1,0,train
23,V_pic/IMG_8058.jpg,IMG_8058.jpg,IMG_8058,IMG_8058.HEIC,000024.jpg,1,27.2,1,1,1,0,0,0,0,1,0,train
1071,V_pic/IMG_4110.jpg,IMG_4110.jpg,IMG_4110,IMG_4110.HEIC,000025.jpg,0,32.1,1,0,2,0,0,0,0,1,0,reserved
24,V_pic/IMG_8064.jpg,IMG_8064.jpg,IMG_8064,IMG_8064.HEIC,000026.jpg,0,34.3,1,0,0,1,0,0,0,0,0,train
25,V_pic/IMG_8070.jpg,IMG_8070.jpg,IMG_8070,IMG_8070.HEIC,000027.jpg,0,24.3,1,0,0,0,1,0,0,0,0,train
26,V_pic/IMG_20210607_201738.jpg,IMG_20210607_201738.jpg,IMG_20210607_201738,IMG_20210607_201738.jpg,000028.jpg,0,18.3,1,1,2,1,0,0,0,0,2,train
27,V_pic/o013ec39f7e3ed313e7085914aa1cee71_4620693218545359526_210610_130.jpg,o013ec39f7e3ed313e7085914aa1cee71_4620693218545359526_210610_130.jpg,o013ec39f7e3ed313e7085914aa1cee71_4620693218545359526_210610_130,o013ec39f7e3ed313e7085914aa1cee71_4620693218545359526_210610_130.jpg,000029.jpg,1,9.9,1,2,1,0,0,0,0,1,0,train
28,V_pic/IMG_20210604_151436.jpg,IMG_20210604_151436.jpg,IMG_20210604_151436,IMG_20210604_151436.jpg,000030.jpg,1,16.6,1,1,1,0,0,0,0,1,1,train
29,V_pic/IMG_3496.jpg,IMG_3496.jpg,IMG_3496,IMG_3496.HEIC,000031.jpg,1,33.0,1,1,2,0,0,0,0,1,0,train
30,V_pic/IMG_3482.jpg,IMG_3482.jpg,IMG_3482,IMG_3482.HEIC,000032.jpg,1,34.5,1,1,0,0,0,0,0,1,0,train
31,V_pic/IMG_3327.jpg,IMG_3327.jpg,IMG_3327,IMG_3327.HEIC,000033.jpg,0,25.2,1,0,0,1,0,0,0,0,1,test
32,V_pic/IMG_3326.jpg,IMG_3326.jpg,IMG_3326,IMG_3326.HEIC,000034.jpg,0,25.2,1,0,2,1,0,0,0,0,1,train
33,V_pic/IMG_3483.jpg,IMG_3483.jpg,IMG_3483,IMG_3483.HEIC,000035.jpg,1,34.5,1,1,1,0,0,0,0,1,0,val
34,V_pic/IMG_20210604_151351.jpg,IMG_20210604_151351.jpg,IMG_20210604_151351,IMG_20210604_151351.jpg,000036.jpg,0,31.9,1,1,1,1,1,0,0,0,1,train
35,V_pic/IMG_3497.jpg,IMG_3497.jpg,IMG_3497,IMG_3497.HEIC,000037.jpg,1,32.9,1,1,2,0,0,0,0,1,0,train
36,V_pic/o013ec39f7e3ed313e7085914aa1cee71_4620693218545359526_210610_125.jpg,o013ec39f7e3ed313e7085914aa1cee71_4620693218545359526_210610_125.jpg,o013ec39f7e3ed313e7085914aa1cee71_4620693218545359526_210610_125,o013ec39f7e3ed313e7085914aa1cee71_4620693218545359526_210610_125.jpg,000038.jpg,1,5.8,1,2,1,0,0,0,0,1,0,val
37,V_pic/IMG_8071.jpg,IMG_8071.jpg,IMG_8071,IMG_8071.HEIC,000039.jpg,0,14.2,1,0,0,0,0,0,0,1,0,train
1072,V_pic/IMG_3656.jpg,IMG_3656.jpg,IMG_3656,IMG_3656.JPG,000040.jpg,0,16.7,1,1,2,1,0,0,0,0,1,reserved
38,V_pic/IMG_8065.jpg,IMG_8065.jpg,IMG_8065,IMG_8065.HEIC,000041.jpg,0,34.3,1,0,0,1,0,0,0,0,0,test
39,V_pic/IMG_4111.jpg,IMG_4111.jpg,IMG_4111,IMG_4111.HEIC,000042.jpg,1,32.1,1,1,2,0,0,0,0,1,0,train
40,V_pic/S__72155287.jpg,S__72155287.jpg,S__72155287,S__72155287.jpg,000043.jpg,0,4.4,1,2,1,0,1,0,0,0,0,train
